Applicant Name,Archived,Full Address,Latitude,Location Flags,Longitude,MAT ID,Occupancy Type,Owner Country,Owner Name,Owner Postal Code,Owner State,Owner Street No,Property Use,Segment End Point Latitude,Segment Length (miles),Segment Start Address,Segment Start Point Longitude,State,Street Name,Unit,Water,Year Built,Zoning,Street No,Sewage,Segment Start Point Latitude,Segment End Point Longitude,Segment End Address,Postal Code,Owner Unit,Owner Street Name,Owner Phone No,Owner Email,Owner City,Mbl,Lot Area,Location ID,Location,Country,City,Building Type
,False,"282 Union St, Unit 2, Springfield, MA 01105",42.103376,,-72.579921,,,,,,,,,,,,-72.579921,MA,Union St,2,,,,282,,42.103376,,,01105,,,,,,,,120752,"282 Union St, Unit 2, Springfield  MA 01105",US,Springfield ,
,False,"235 Pine St, Unit 11, Springfield, MA 01105",42.097658,,-72.573106,,,,,,,,,,,,-72.573106,MA,Pine St ,11,,,,235,,42.097658,,,01105,,,,,,,,120748,"235 Pine St , Unit 11, Springfield  MA 01105",US,Springfield ,
,False,"91 Mooreland St, Springfield, Massachusetts 01104",42.123419,"Neighborhood: Liberty Heights, Zip Code: 01104",-72.591799,P337500,,,MARSH TASHA,01104,MA,89 MOORELAND ST,,,,,-72.591799,Massachusetts,Mooreland St,,,1924,R2,91,,42.123419,,,01104,,,,,SPRINGFIELD,088250039,5250.0,91952,"91 Mooreland St, Springfield Massachusetts 01104",US,Springfield,104: Two-Family
,False,"653 Beacon Cir, Springfield, Massachusetts 01119",42.129481,"Neighborhood: Sixteen Acres, Zip Code: 01119",-72.505054,P304966,,,BC COLONIAL ESTATES LLC,02108,MA,2 CENTER PLAZA STE 700,,,,,-72.505054,Massachusetts,Beacon Cir,,,1971,S R1 R4,653,,42.129481,,,01119,,,,,BOSTON,091100055,2737493.0,62227,"653 Beacon Cir, Springfield Massachusetts 01119",US,Springfield,114: Affordable Housing Units
,False,"282 Union St, Unit 5, Springfield, MA 01105",42.103384,,-72.579922,,,,,,,,,,,,-72.579922,MA,Union St,5,,,,282,,42.103384,,,01105,,,,,,,,120685,"282 Union St, Unit 5, Springfield  MA 01105",US,Springfield ,
,False,"287 Walnut St, Unit 1st Floor, Springfield, MA 01109",42.102143,,-72.568161,,,,,,,,,,,,-72.568161,MA,Walnut St,1st Floor,,,,287,,42.102143,,,01109,,,,,,119520153  ,,120743,"287 Walnut St, Unit 1st Floor, Springfield  MA 01109",US,Springfield ,
,False,"0 Taylor St, Springfield, Massachusetts 01105",42.109493,"Neighborhood: Metro Center, Zip Code: 01105",-72.586943,P354527,,,OUTDOOR PROPERTIES INC,01106,MA,32 WILD GROVE LN,,,,,-72.586943,Massachusetts,Taylor St,,,,B2,0,,42.109493,,,01105,,,,,LONGMEADOW,114300149,4997.0,118615,"0 Taylor St, Springfield Massachusetts 01105",US,Springfield,390: Vacant Land - Accessory To Commercial Pa
,False,"0 Taylor St, Springfield, Massachusetts 01105",42.109687,"Neighborhood: Metro Center, Zip Code: 01105",-72.586713,P354526,,,OUTDOOR PROPERTIES INC,01106,MA,32 WILD GROVE LN,,,,,-72.586713,Massachusetts,Taylor St,,,,B2,0,,42.109687,,,01105,,,,,LONGMEADOW,114300147,5499.0,118614,"0 Taylor St, Springfield Massachusetts 01105",US,Springfield,337: Parking Lots
,False,"704 Worthington St, Springfield, Massachusetts 01105",42.109619,"Neighborhood: Metro Center, Zip Code: 01105",-72.586466,P361228,,,OUTDOOR PROPERTIES INC,01106,MA,32 WILD GROVE LN,,,,,-72.586466,Massachusetts,Worthington St,,,1940,S B1 B2,704,,42.109619,,,01105,,,,,LONGMEADOW,125350067,12446.0,113620,"704 Worthington St, Springfield Massachusetts 01105",US,Springfield,337: Parking Lots
,False,"722 Worthington St, Springfield, Massachusetts 01105",42.109778,"Neighborhood: Metro Center, Zip Code: 01105",-72.586302,P361229,,,OUTDOOR PROPERTIES INC,01106,MA,32 WILD GROVE LN,,,,,-72.586302,Massachusetts,Worthington St,,,,B2,722,,42.109778,,,01105,,,,,LONGMEADOW,125350070,16606.0,113621,"722 Worthington St, Springfield Massachusetts 01105",US,Springfield,"316: Storage, Warehouses And Distribution"
,False,"28 Myrtle, Unit D11, Springfield, MA 01105",42.104488,,-72.580737,,,,,,,,,,,,-72.580737,MA,Myrtle ,D11,,,,28 ,,42.104488,,,01105,,,,,,111100594,,120653,"28  Myrtle , Unit D11, Springfield  MA 01105",US,Springfield ,
,False,"97 Spring St, Springfield, Massachusetts 01105",42.107021,"Neighborhood: Metro Center, Zip Code: 01105",-72.585253,P351707,,,PAPYRUS EQUITIES LLC,02445,MA,38 WELCH RD,,,,,-72.585253,Massachusetts,Spring St,,,1912,R3,97,,42.107021,,,01105,,,,,BROOKLINE,110400086,9500.0,105011,"97 Spring St, Springfield Massachusetts 01105",US,Springfield,112: Apartments - More than Eight Units
,False,"33 High St, Unit 331, Springfield, MA 01105",42.102756,,-72.581815,,,,,,,,,,,,-72.581815,MA,High St,331,,,,33,,42.102756,,,01105,,,,,,,,120655,"33 High St, Unit 331, Springfield  MA 01105",US,Springfield ,
,False,"1118 SAINT JAMES AVE, Unit H31, SPRINGFIELD, MA 01104",42.137914,,-72.571709,,,,,,,,,,,,-72.571709,MA ,SAINT JAMES AVE ,H31,,,,1118,,42.137914,,,01104,,,,,,,,120601,"1118 SAINT JAMES AVE , Unit H31, SPRINGFIELD  MA  01104",US,SPRINGFIELD ,
,False,"501 WORTHINGTON ST, Unit 404, SPRINGFIELD, MA 01105",42.107235,,-72.588475,,,,FRIENDS OS THE HOMELESS INC,01105,MA ,769 ,,,,,-72.588475,MA ,WORTHINGTON ST ,404,,,,501,,42.107235,,,01105,,WORTHINGTON ST ,,,SPRINGFIELD ,,,120537,"501 WORTHINGTON ST , Unit 404, SPRINGFIELD  MA  01105",US,SPRINGFIELD ,
,False,"335 Allen St, Springfield, Massachusetts 01108",42.093783,"Neighborhood: Forest Park, Zip Code: 01108",-72.551924,P301592,,,MALLARY VILLAGE LLC,01890-1109,MA,36 BALDWIN ST,,,,,-72.551924,Massachusetts,Allen St,,,1919,S B1 I2,335,,42.093783,,,01108,,,,,WINCHESTER,002801277,17757.0,59225,"335 Allen St, Springfield Massachusetts 01108",US,Springfield,112: Apartments - More than Eight Units
,False,"306 Union St, Unit 3L, Springfield, MA 01105",42.10377,,-72.579507,,,,,,,,,,,,-72.579507,MA,Union St,3L,,,,306,,42.10377,,,01105,,,,,,,,120467,"306 Union St, Unit 3L, Springfield  MA 01105",US,Springfield ,
,False,"18 Sycamore St, Springfield, Massachusetts 01109",42.120461,"Neighborhood: Bay, Zip Code: 01109",-72.562367,P354034,,,APELLANIZ RAMON,01109,MA,18 SYCAMORE ST,,,,,-72.562367,Massachusetts,Sycamore St,,,1916,R2,18,,42.120461,,,01109,,,,,SPRINGFIELD,113550003,3678.0,107138,"18 Sycamore St, Springfield Massachusetts 01109",US,Springfield,101: Single Family Residence
,False,"306 Union St, Unit 3R, Springfield, MA 01105",42.10377,,-72.579507,,,,,,,,,,,,-72.579507,MA,Union St,3R,,,,306,,42.10377,,,01105,,,,,,,,120438,"306 Union St, Unit 3R, Springfield  MA 01105",US,Springfield ,
,False,"371 Central St, Springfield, Massachusetts 01105",42.097652,"Neighborhood: Six Corners, Zip Code: 01105",-72.569298,P311846,,,ROUND TWO LLC,01089,MA,268 COLD SPRING AVE SUITE B,,,,,-72.569298,Massachusetts,Central St,,,1901,R3,371,,42.097652,,,01105,,,,,WEST SPRINGFIELD,025600145,12465.0,68574,"371 Central St, Springfield Massachusetts 01105",US,Springfield,111: Apartments - 4 To 8 Units
,False,"88 Acushnet Ave, Unit 3, Springfield, MA 01105",42.093363,,-72.577423,,,,,,,,,,,,-72.577423,MA,Acushnet Ave,3,,,,88,,42.093363,,,01105,,,,,,,,120608,"88 Acushnet Ave, Unit 3, Springfield  MA 01105",US,Springfield ,
,False,"1110 Worcester St, Springfield, Massachusetts 01151",42.159218,"Neighborhood: Indian Orchard, Zip Code: 01151",-72.507476,P360902,,,GOMES DAYNA S,01151,MA,1110-1112 WORCESTER ST,,,,,-72.507476,Massachusetts,Worcester St,,,,R2,1110,,42.159218,,,01151,,,,,INDIAN ORCHARD,125250336,11250.0,113318,"1110 Worcester St, Springfield Massachusetts 01151",US,Springfield,104: Two-Family
,False,"526 Grayson Dr, Springfield, Massachusetts 01119",42.131101,"Neighborhood: Boston Road, Zip Code: 01119",-72.51309,P324001,,,OWUSU COLLINS & ALICE BOAKYE,01119,MA,526 GRAYSON DR,,,,,-72.51309,Massachusetts,Grayson Dr,,,1976,R2,526,,42.131101,,,01119,,,,,SPRINGFIELD,059900043,5098.0,79708,"526 Grayson Dr, Springfield Massachusetts 01119",US,Springfield,104: Two-Family
,False,"42-44 Gilbert Ave NO ADDRESS, OR PHONE, CONTACT 00000",42.133068,,-72.524823,,12,,Caring for others health agency llc,01118,Massachusetts,45,,,,,-72.524823,CONTACT,NO ADDRESS ,,SWSC,2025,Business A,42-44 Gilbert Ave,SWSC,42.133068,,,00000,,Island Pond Rd,413-328-1014,mysean94@yahoo.com,Springfield,056500010,5000.0,120392,"42-44 Gilbert Ave NO ADDRESS , OR PHONE  CONTACT 00000",US,OR PHONE ,Colonial Duplex
,False,"90 Maple St, Springfield, Massachusetts 01105",42.100967,"Neighborhood: South End, Zip Code: 01105",-72.581786,P334357,,,PAPYRUS EQUITIES LLC,02445-7526,MA,38 WELCH RD,,,,,-72.581786,Massachusetts,Maple St,,,1930,S C1 B2,90,,42.100967,,,01105,,,,,BROOKLINE,082180030,37650.0,89086,"90 Maple St, Springfield Massachusetts 01105",US,Springfield,112: Apartments - More than Eight Units
,False,"154 Maple St, Unit H, Springfield, MA 01105",42.099475,,-72.579864,,,,,,,,,,,,-72.579864,MA,Maple St,H,,,,154,,42.099475,,,01105,,,,,,082180047,,120361,"154 Maple St, Unit H, Springfield  MA 01105",US,Springfield ,
,False,"34 Salem St, Springfield, Massachusetts 01105",42.106687,"Neighborhood: Metro Center, Zip Code: 01105",-72.585978,P349576,,,PAPYRUS EQUITIES LLC,02445,MA,38 WELCH RD,,,,,-72.585978,Massachusetts,Salem St,,,1904,R3,34,,42.106687,,,01105,,,,,BROOKLINE,105300011,4618.0,103090,"34 Salem St, Springfield Massachusetts 01105",US,Springfield,111: Apartments - 4 To 8 Units
Daviana Ramirez,False,"62 Avon Place, Unit 8, Springfield, MA 01105",42.101429,,-72.577664,,,,,,,,,,,,-72.577664,MA,Avon Place,8,,,,62,,42.101429,,,01105,,,,,,,,120594,"62 Avon Place, Unit 8, Springfield  MA 01105",US,Springfield ,
,False,"64 Osgood St, Springfield, Massachusetts 01107",42.114358,"Neighborhood: Memorial Square, Zip Code: 01107",-72.602781,P341418,,,PAPYRUS EQUITIES LLC,02445-7526,MA,38 WELCH RD,,,,,-72.602781,Massachusetts,Osgood St,,,1926,B1,64,,42.114358,,,01107,,,,,BROOKLINE,093900030,14032.0,95577,"64 Osgood St, Springfield Massachusetts 01107",US,Springfield,112: Apartments - More than Eight Units
,False,"64 Osgood St, Springfield, Massachusetts 01107",42.114341,"Neighborhood: Memorial Square, Zip Code: 01107",-72.602696,P341417,,,PAPYRUS EQUITIES LLC,02445-7526,MA,38 WELCH RD,,,,,-72.602696,Massachusetts,Osgood St,,,1926,B1,64,,42.114341,,,01107,,,,,BROOKLINE,093900030,14032.0,95576,"64 Osgood St, Springfield Massachusetts 01107",US,Springfield,112: Apartments - More than Eight Units
KATHLEEN ROGERS,False,"32.5 OAK ST, INDIAN ORCHARD, MA 01151",42.160539,,-72.502893,,,,,,,,,,,,-72.502893,MA ,OAK ST ,,,,,32.5,,42.160539,,,01151,,,,,,,,120184,"32.5 OAK ST , INDIAN ORCHARD  MA  01151",US,INDIAN ORCHARD ,
