Record #,Code / Description,Responsible Party,Unit(s),Status,Picture,Correction Required By:
HSNG-25-1650,"",Owner,"",Cited,"",""
HSNG-25-1649,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1648,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1647,"LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Trash bags, pile of branches, paper, plastic, miscellaneous debris, scattered around vacant lot)",Owner,Exterior,Cited,"",""
HSNG-25-1647,"",Owner,"",Cited,"",""
HSNG-25-1646,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Deep freezer, water heaters) ",Owner,"",Cited,"",""
HSNG-25-1645,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1644,"CHAPTER 327 Article I § 327-13 LITTER OCCUPIED ( A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Household furniture , Etc .Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street  Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP ",Owner,"",Cited,"",""
HSNG-25-1643,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1642,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection.Chapter 327 Article 1 § 327-14 Unregistered Motor Vehicle ( A,B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine.( Black Volkswagen )",Owner,"",Cited,"",""
HSNG-25-1641,"Placement of Containers for Rubbish, Recycling and Yard  Waste -Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Trash barrels left on the treebelt ",Owner,"",Cited,1358357,11/28/2025
HSNG-25-1639,"Placement of Containers for Rubbish, Recycling and Yard  Waste -Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Trash and Recycle Barrels left on sidewalk",Owner,"",Cited,1358194,11/28/2025
HSNG-25-1638,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Placement of Containers for Rubbish, Recycling and Yard  Waste -Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)curb and front yard has plastic bottles, paper cups, paper, plastic etc. Trash and Recycle barrels front yard near curb",Owner,"",Cited,"",11/28/2025
HSNG-25-1635,"Placement of Containers for Rubbish, Recycling and Yard  Waste -Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Trash barrel left on the street",Owner,"",Cited,1358145,11/28/2025
HSNG-25-1634,"Placement of Containers for Rubbish, Recycling and Yard  Waste -Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Recycle Barrels left on the street",Owner,"",Cited,1358108,11/28/2025
HSNG-25-1633,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Doll House left on the treebelt ,Owner,"",Cited,1358091,11/28/2025
HSNG-25-1632,"105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A) 2(Ceiling water in kitchen and bathroom)LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Litter and trash in garage)105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)2(Tub wall in disrepair)",Owner,"",Cited,"",""
HSNG-25-1631,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Dumping)",Owner,"",Cited,"",""
HSNG-25-1631,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Paper,Plastic,Cardboard,Etc)",Owner,"",Cited,"",""
HSNG-25-1628,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Dumping.)",Owner,"",Cited,"",""
HSNG-25-1624,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Placement of Containers for Rubbish, Recycling and Yard Waste Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Barrels on the street and chair on the treebelt along Worcester Street",Owner,"",Cited,"",11/28/2025
HSNG-25-1613,STOVE NOT WORKING PROPERLY 105.CMR.410.235 (A) 8Front right burner on stove top faulty keeps one temperature cannot be adjustedOven is inoperable,Owner,"",Cited,"",11/26/2025
HSNG-25-1613,"MAINTENANCE OF LAND 105.CMR.410.570 (A) 3,5Fence broken/damaged/sharp edges",Owner,"",Cited,1357374,12/19/2025
HSNG-25-1608,"105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Main door in disrepair cracked broken)(kitchen sink and cabinet peeling paint)(Kitchen wall in disrepair)(Bedroom wall in disrepair)105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)8(Stove oven door broke need replacement)",Owner,"",Cited,"",""
HSNG-25-1606,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Mattress and carpet left on treebelt along Massreco Street,Owner,"",Cited,1356956,11/25/2025
HSNG-25-1605,"LITTER OCCUPIED CHAPTER 327 Article | § 327-13 L. (1) (A) No person shall throw or deposit or cause to have thrown or deposited any litter on any occupied private property within the City, whether owned by such person or not, except that the owner or person in control of private property may maintain authorized private receptacles for collection in such a manner that litter will be prevented from being carried or deposited by the elements upon any street, sidewalk, alley or other public place, or upon any private property. The owner or person in control of any private property shall at all times maintain the premises free from litter and overgrowth.(Trash reciprocal overflowing. Trash and miscellaneous items scattered outside trash reciprocals)",Owner,Exterior,Cited,"",12/02/2025
HSNG-25-1601,"MAINTENANCE OF LAND 105.CMR.410.570 (A) Yard has tents, tarp, cardboard boxes, storage containers, hamper, carpet, plastic bottles, plastic bags, trash, hamper, trash etc.",Owner,"",Cited,"",12/18/2025
HSNG-25-1601,TEMPORARY WIRING BEING USED 105.CMR.410.320 (A)Extension cords running from house to tents,Owner,"",Cited,"",12/18/2025
HSNG-25-1597,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)12(Light fixture defective)105.CMR.410.550 Elimination of PestsOwners and occupants are responsible for the control and elimination of pests (A)2(Dead mice)105.CMR.410.260: Means of Egress(D) In a multi-unit residence:(1) The owner shall maintain free from obstruction every means of egress in common areas used (2) The owner shall ensure every means of egress is maintained at all times in a safe, operable condition.(2nd to 3rd rear egress blocked by wooden platform)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Bathroom ceiling water damage)",Owner,"",Cited,"",""
HSNG-25-1595,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)8(Stove front left burner defective)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Ceiling water damage bathroom)(Hallway wall cracked (Kitchen cabinet in disrepair)",Owner,"",Cited,"",""
HSNG-25-1594,105.CMR.410.235: Owner’s Installation and Maintenance Responsibilities(A)(2)( sliding shower door frame not secured at top),Owner,"",Cited,1356783,12/17/2025
HSNG-25-1592,"105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Middle bedroom wall cracked)105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)15(Refrigerator not not working)",Owner,"",Cited,"",""
HSNG-25-1591,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Sink left on the treebelt ,Owner,"",Cited,1356466,11/24/2025
HSNG-25-1590,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( couch on lawn),Owner,"",Cited,1356342,12/16/2025
HSNG-25-1588,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( furniture on tree belt),Owner,"",Cited,1356277,12/09/2025
HSNG-25-1589,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Artificial Christmas Tree in a box left on the curb,Owner,"",Cited,1356276,11/24/2025
HSNG-25-1587,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( furniture parts on tree belt),Owner,"",Cited,1356236,12/09/2025
HSNG-25-1586,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( chair parts on tree belt),Owner,"",Cited,1356232,12/09/2025
HSNG-25-1583,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Note: Yard And Property Must Be Cut, Cleaned, And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible For Tree Belt And To Maintain From Property Line To 3 Feet Into Street Area.LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  (Leaves yard debris, paper, plastic scattered along tree belt, and garage at rear of property on Girard Avenue)",Owner,Exterior,Cited,"",12/04/2025
HSNG-25-1581,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) Note: Yard And Property Must Be Cut, Cleaned, And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible For Tree Belt And To Maintain From Property Line To 3 Feet Into Street Area.LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  (Paper, plastic, leaves and yard debris scattered on tree belt behind dwelling on Gerard Avenue)",Owner,Exterior,Cited,"",12/04/2025
HSNG-25-1582,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Litter left on tree belt),Owner,"",Cited,1356137,12/01/2025
HSNG-25-1580,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. Heavy Overgrowth Of Grass, Weeds, Vines, Bushes, Shrubs, Small Trees, Wild, Growth, Leaves, ETC. Note: Yard And Property Must Be Cut, Cleaned, And Maintained At All Times to avoid fines upon re-inspection.(Pile of branches, brush and leave scattered along tree belt and yard)LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  (Paper, plastic miscellaneous debris)",Owner,Exterior,Cited,"",12/04/2025
HSNG-25-1577,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1576,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(car bumper cover on tree belt)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.,Owner,Exterior,Cited,"",12/09/2025
HSNG-25-1575,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(Mattress on tree belt)Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.,Owner,Exterior,Cited,"",12/09/2025
HSNG-25-1574,"Chapter 327 Article 1 § 327-14 Unregistered Motor Vehicle ( A,B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine.",Owner,"",Cited,"",""
HSNG-25-1573,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(Totes, buckets, wood beams, miscellaneous items, leaves and yard debris scattered on side of property)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.",Owner,Exterior,Cited,"",12/09/2025
HSNG-25-1573,"","","",Cited,"",""
HSNG-25-1572,"LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Loose litter throughout vacant lot, large pieces of plastic wrap)",Owner,"",Cited,"",12/01/2025
HSNG-25-1570,OVERGROWTH VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Overgrowth along sidewalk protruding onto walkway),Owner,"",Cited,1356027,12/01/2025
HSNG-25-1571,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1569,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1568," Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1567,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Accumulation of litter on side of residence, bulk litter items)",Owner,"",Cited,1356017,12/01/2025
HSNG-25-1566,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection.",Owner,"",Cited,"",""
HSNG-25-1565,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1564,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Accumulation of miscellaneous debris and bulk litter items in rear of driveway),Owner,"",Cited,1355983,12/01/2025
HSNG-25-1563,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-1562,"Chapter 327 article 1§327-7(A). Placement of containers for rubbish and yard wasteIn order to maintain an orderly and aesthetic appearance within the City and to prevent unauthorized encroachment on any street, public property, or private property, the Director shall have the authority to sanction the storage location of automated containers for residential customers. Automated containers shall be stored on private property except on collection days. Failure by customer to comply with City notification citing improper storage for automated containers shall be a violation of this section. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. Chapter 327 Article 1 § 327-14 Unregistered Motor Vehicle ( A,B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine.",Owner,"",Cited,"",""
HSNG-25-1561,"Placement of Containers for Rubbish, Recycling and Yard Waste Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Recycle barrel left in the street",Owner,"",Corrected,1355927,11/21/2025
HSNG-25-1560,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Suitcases left on the treebelt ,Owner,"",Corrected,1355907,11/21/2025
HSNG-25-1558,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Cabinet left on treebelt along Healey Street,Owner,"",Corrected,1355737,11/21/2025
HSNG-25-1557,"Placement of Containers for Rubbish, Recycling and Yard Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Barrels left on the street",Owner,"",Corrected,1355708,11/21/2025
HSNG-25-1555,"Placement of Containers for Rubbish, Recycling and Yard Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)",Owner,"",Corrected,1355686,11/21/2025
